# airports.tab	main airports list

# This file is part of Tripover, a broad-search journey planner.

#  Copyright (C) 2014-2016 Joris van der Geer.

# This file is used by gtfstool when creating gtfs feeds from air timetables
# derived partially from openflights.org and ourairports.com  res.taca.com/zed/app/codes.html

# name	code	cc	lat	lon	utcofs	citydst	lat	lon

Bukhara	BHK	uz	39.766229	64.475829	Asia/Samarkand
Bundaberg	BDB	au-qld	-24.898431	152.321521	Australia/Brisbane	bdb_railway	-24.869331	152.345587
Burbank	BUR	us-ca	34.200149	-118.360084	America/Los_Angeles
Burgas	BOJ	bg	42.566597	27.517378	Europe/Sofia
=Bourgas BOJ
Burlington	BTV	us-vt	44.469110	-73.154944	America/New_York
Busan	PUS	kr	35.189382	128.944167	Asia/Seoul
Butte	BTM	us-mt	45.955266	-112.503198	America/Denver
Caceres Railway Station	QUQ-rail	es	39.460527	-6.386113	Europe/Madrid
Caen	CFR	fr	49.181979	-0.456268	Europe/Paris	cfr_centre	49.176676	-0.346748
Cagliari	CAG	it	39.253851	9.061196	Europe/Rome	cag_montserrano	39.219913	9.111000
Cairns	CNS	au-qld	-16.876766	145.754134	Australia/Brisbane	cns_Cairns central	-16.925727	145.771317
Cairo	CAI	eg	30.115332	31.408466	Africa/Cairo
Cajamarca	CJA	pe	-7.142810	-78.490089	America/Lima
Calama	CJC	cl	-22.494918	-68.907712	America/Santiago
Calgary	YYC	ca-ab	51.132148	-114.010979	America/Edmonton	yyc_mcknight	51.108503	-113.975616
Cali	CLO	co	3.536307	-76.387682	America/Bogota
Calvi	CLY	fr	42.524834	8.789570	Europe/Paris	cly_sncf	42.564314	8.755930
Ca Mau	CAH	vn	9.18805	105.17472	Asia/Ho_Chi_Minh
Cambridge	CBG	gb	52.210643	0.174008	Europe/London	cbg_central	52.193993	0.138015
Campeche	CPE	mx	19.813973	-90.504063	America/Merida
Camp Springs	ADW	us-va	38.810165	-76.857333	America/New_York
Campo Grande	CGR	br	-20.46867	-54.6725	America/Campo_Grande
Canberra	CBR	au-act	-35.307687	149.189861	Australia/Sydney	cbr_Kingston	-35.319287	149.149187
Cancun	CUN	mx	21.038569	-86.873413	America/Cancun
Can Tho	VCA	vn	10.08512	105.71192	Asia/Ho_Chi_Minh
Cape Town	CPT	za	-33.968686	18.597322	Africa/Johannesburg
Cap-haitien	CAP	ht	19.73299	-72.19474	America/Port-au-Prince
Caracas	CCS	ve	10.596964	-67.005134	America/Caracas
Carcassonne	CCF	fr	43.213842	2.308788	Europe/Paris
Cardiff	CWL	gb	51.398442	-3.339435	Europe/London	cwl_rhoose	51.386915	-3.347696
Cartagena	CTG	co	10.445573	-75.516810	America/Bogota
Cartago	CRC	co	4.75818	-75.955	America/Bogota
Casablanca	CMN	ma	33.373559	-7.579821	Africa/Casablanca
Casper	CPR	us-wy	42.900555	-106.463213	America/Denver
Castres	DCM	fr	43.553751	2.288772	Europe/Paris	dcm_sncf	43.598243	2.229874
Castro	MHC	cl	-42.348436	-73.721620	America/Santiago
Catamarca	CTC	ar	-28.592435	-65.755145	America/Argentina/Catamarca
Catania	CTA	it	37.470414	15.067664	Europe/Rome	cta_centrale	37.492011	15.074564
Cayenne	CAY	gf	4.821841	-52.363930	America/Cayenne
Cebu	CEB	ph	10.316171	123.978461	Asia/Manila
=Lapu-Lapu City CEB
Cedar City	CDC	us-ut	37.699459	-113.092556	America/Denver
Cedar Rapids	CID	us-ia	41.888549	-91.700483	America/Chicago
Chambery	CMF	fr	45.637927	5.884200	Europe/Paris	cmf_sncf	45.570812	5.919692
Champaign	CMI	us-il	40.040042	-88.270380	America/Chicago
Changchun	CGQ	cn	43.994856	125.697356	Asia/Shanghai
Changde	CGD	cn	28.921367	111.643520	Asia/Shanghai	cgd_changde	29.072102	111.697630
Changsha	CSX	cn	28.187091	113.219095	Asia/Shanghai
Changsha	DDV	cn
Changzhi	CIH	cn	36.245562	113.127507	Asia/Shanghai	cih_rail	36.240575	113.100043
Changzhou	CZX	cn	31.913049	119.782620	Asia/Shanghai	czx_changzhou	31.789459	119.969603
Chania	CHQ	gr	35.540343	24.140335	Europe/Athens
Chaoyang	CHG	cn	41.539713	120.436008	Asia/Shanghai	chg_chaoyang	41.578309	120.440745
Charleston	CHS	us-sc	32.884948	-80.036928	America/New_York	chs_amtrak	32.874208	-79.997982
Charleston	CRW	us-wv	38.370404	-81.596312	America/New_York	crw_amtrak	38.345754	-81.637897
Charleville	CTL	au-qld	-26.413299	146.261993	Australia/Brisbane	ctl_railway	-26.406867	146.243196
Charlotte	CLT	us-nc	35.220873	-80.943889	America/New_York	clt_amtrak	35.241011	-80.822674
Charlottesville	CHO	us-va	38.139532	-78.449057	America/New_York	cho_amtrak	38.031205	-78.492528
Charlottetown	YYG	ca-pe	46.286296	-63.130936	America/Halifax
Chattanooga	CHA	us-tn	35.036448	-85.196903	America/New_York
Chelyabinsk	CEK	ru	55.297516	61.512639	Asia/Yekaterinburg	cek_rail	55.140052	61.417486
Chengdu	CTU	cn	30.578806	103.959052	Asia/Shanghai	ctu_成都_chengdu	30.697397	104.074179
Chennai	MAA	in	12.982102	80.164527	Asia/Kolkata
Chenzhou Railway Station	LQP-rail	cn	25.806906	113.033925	Asia/Shanghai
Cheongju	CJJ	kr	36.722834	127.496614	Asia/Seoul
Cheyenne, Wy	CYS	us-wy	41.152889	-104.819382	America/Denver
